,Serial Number,SMILES,Number of Unique Zeolites,List of Zeolites
902,903,C[N+]1(C)C[C@H]2CC[C@H](C2)C1,143,"['AEI', 'AEL', 'AET', 'AFG', 'AFI', 'AFN', 'AFR', 'AFS', 'AFT', 'AFV', 'AFX', 'AFY', 'AST', 'ATS', 'AVE', 'AVL', 'AWW', 'BEA', 'BEC', 'BOF', 'BOG', 'BOZ', 'BPH', 'CFI', 'CGF', 'CGS', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EEI', 'EMT', 'EON', 'ERI', 'ESV', 'ETL', 'ETR', 'ETV', 'EUO', 'EWS', 'EZT', 'GME', 'GON', 'HEU', 'IFO', 'IFR', 'IFW', 'IFY', 'IHW', 'IMF', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'JNT', 'JSR', 'JSW', 'KFI', 'LAU', 'LEV', 'LIO', 'LOS', 'LTA', 'LTF', 'LTL', 'MAZ', 'MEI', 'MEL', 'MER', 'MFI', 'MFS', 'MOR', 'MOZ', 'MRT', 'MSE', 'MSO', 'MTF', 'MTW', 'MWW', 'NON', 'NPT', 'OBW', 'OFF', 'OKO', 'OSO', 'PCS', 'POS', 'PTY', 'PUN', 'PWO', 'PWW', 'RHO', 'RTE', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SBS', 'SBT', 'SEW', 'SFE', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SGT', 'SOF', 'SOR', 'SOV', 'SSF', 'SSY', 'STF', 'STI', 'STO', 'STT', 'STW', 'SVV', 'SWY', 'SZR', 'TER', 'TOL', 'TON', 'TUN', 'UOS', 'UOV', 'USI', 'UTL', 'VFI']"
903,904,C[N+]1(C)C[C@H]2CC[C@H](CC2)C1,113,"['AEI', 'AEL', 'AFI', 'AFN', 'AFR', 'AFS', 'AFV', 'AFX', 'AFY', 'AST', 'ATS', 'AVL', 'AWW', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CFI', 'CGS', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EEI', 'EMT', 'EON', 'ERI', 'ESV', 'ETL', 'ETR', 'EUO', 'EWS', 'EZT', 'FAU', 'GME', 'IFO', 'IFR', 'IFW', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWW', 'JSW', 'KFI', 'LEV', 'LTA', 'LTL', 'MAZ', 'MEI', 'MEL', 'MER', 'MFI', 'MFS', 'MOR', 'MOZ', 'MRE', 'MSE', 'MTF', 'MTW', 'MWW', 'NON', 'OFF', 'POS', 'PUN', 'PWO', 'PWW', 'RHO', 'RTE', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SEW', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SGT', 'SOF', 'SOR', 'SOV', 'SSF', 'SSY', 'STF', 'STI', 'STO', 'STT', 'STW', 'SVV', 'SWY', 'SZR', 'TON', 'UFI', 'UOS', 'USI', 'UTL', 'VFI']"
904,905,C[N+]1(C)C[C@H]2[C@@H]3C=C[C@@H](C3)[C@@H]2C1,136,"['AEI', 'AEL', 'AET', 'AFG', 'AFI', 'AFN', 'AFR', 'AFS', 'AFT', 'AFV', 'AFX', 'AFY', 'ATS', 'AVE', 'AVL', 'AWW', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CFI', 'CGS', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EMT', 'EON', 'ERI', 'ETL', 'ETR', 'ETV', 'EUO', 'EWS', 'EZT', 'FAR', 'FAU', 'GIU', 'GME', 'IFO', 'IFR', 'IFW', 'IFY', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'JNT', 'JSR', 'JST', 'KFI', 'LAU', 'LEV', 'LIO', 'LTA', 'LTL', 'MAR', 'MAZ', 'MEI', 'MEL', 'MER', 'MFI', 'MFS', 'MOR', 'MOZ', 'MRE', 'MSE', 'MSO', 'MTF', 'MTW', 'MWW', 'NON', 'NPT', 'OBW', 'OFF', 'OKO', 'OSO', 'PCS', 'PON', 'POS', 'PUN', 'PWO', 'PWW', 'RHO', 'RTE', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SBS', 'SBT', 'SEW', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SGT', 'SOF', 'SOR', 'SOV', 'SSF', 'SSY', 'STF', 'STI', 'STO', 'STT', 'STW', 'SWY', 'SZR', 'TER', 'TOL', 'TON', 'TUN', 'UFI', 'UOV', 'UOZ', 'USI', 'UTL', 'VFI']"
905,906,C[N+]1(C)C[C@H]2[C@@H]3C=C[C@@H](C3)[C@H]2C1,141,"['AEI', 'AEL', 'AET', 'AFG', 'AFI', 'AFN', 'AFR', 'AFS', 'AFT', 'AFV', 'AFX', 'AFY', 'ATS', 'AVE', 'AVL', 'AWW', 'BEC', 'BOF', 'BOG', 'BOZ', 'BPH', 'CFI', 'CGS', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EEI', 'EMT', 'EON', 'ERI', 'ESV', 'ETL', 'ETR', 'ETV', 'EUO', 'EWS', 'EZT', 'FAR', 'FAU', 'GIU', 'GME', 'IFO', 'IFR', 'IFW', 'IFY', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'JNT', 'JSR', 'JST', 'KFI', 'LAU', 'LEV', 'LIO', 'LTA', 'LTF', 'LTL', 'MAR', 'MAZ', 'MEI', 'MEL', 'MER', 'MFI', 'MFS', 'MOR', 'MOZ', 'MRE', 'MSE', 'MSO', 'MTF', 'MTW', 'MWW', 'NON', 'NPT', 'OBW', 'OFF', 'OKO', 'OSO', 'PCS', 'POR', 'POS', 'PTY', 'PUN', 'PWO', 'PWW', 'RHO', 'RTE', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SBS', 'SBT', 'SEW', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SGT', 'SOF', 'SOR', 'SOV', 'SSF', 'SSY', 'STF', 'STI', 'STO', 'STT', 'STW', 'SWY', 'SZR', 'TER', 'TOL', 'TON', 'TUN', 'UFI', 'UOS', 'UOV', 'UOZ', 'USI', 'UTL', 'VFI']"
906,907,C[N+]1(C)C[C@H]2[C@@H]3C=C[C@@H](CC3)[C@@H]2C1,125,"['AEI', 'AEL', 'AET', 'AFG', 'AFI', 'AFN', 'AFR', 'AFS', 'AFT', 'AFV', 'AFX', 'AFY', 'AVE', 'AVL', 'BEA', 'BEC', 'BOF', 'BOG', 'BOZ', 'BPH', 'CGS', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EEI', 'EMT', 'EON', 'ERI', 'ETR', 'ETV', 'EUO', 'EWS', 'EZT', 'FAR', 'FAU', 'GIU', 'GME', 'IFO', 'IFR', 'IFW', 'IFY', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'JSR', 'JST', 'KFI', 'LIO', 'LTA', 'LTF', 'LTL', 'MAR', 'MAZ', 'MEI', 'MEL', 'MFI', 'MFS', 'MOR', 'MOZ', 'MRE', 'MSE', 'MSO', 'MTW', 'MWW', 'NON', 'NPT', 'OFF', 'OKO', 'OSO', 'PCS', 'POS', 'PUN', 'PWW', 'RHO', 'RTE', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SBS', 'SBT', 'SEW', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SGT', 'SOR', 'SOV', 'SSF', 'SSY', 'STF', 'STI', 'STO', 'STT', 'STW', 'SWY', 'SZR', 'TER', 'TOL', 'TON', 'TUN', 'UFI', 'UOV', 'USI', 'UTL', 'VFI']"
907,908,C[N+]1(C)C[C@H]2[C@@H]3C=C[C@@H](CC3)[C@H]2C1,131,"['AEI', 'AEL', 'AET', 'AFG', 'AFI', 'AFN', 'AFR', 'AFS', 'AFT', 'AFV', 'AFX', 'AFY', 'AVE', 'AVL', 'AWW', 'BEA', 'BEC', 'BOF', 'BOG', 'BOZ', 'BPH', 'CFI', 'CGS', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EMT', 'EON', 'ERI', 'ETL', 'ETR', 'ETV', 'EUO', 'EWS', 'EZT', 'FAR', 'FAU', 'GIU', 'GME', 'IFO', 'IFR', 'IFW', 'IFY', 'IHW', 'IMF', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'JSR', 'JST', 'KFI', 'LIO', 'LTA', 'LTL', 'MAR', 'MAZ', 'MEI', 'MEL', 'MFI', 'MFS', 'MOR', 'MOZ', 'MRE', 'MSE', 'MSO', 'MTW', 'MWW', 'NON', 'NPT', 'OBW', 'OFF', 'OKO', 'OSO', 'PCS', 'POS', 'PUN', 'PWN', 'PWO', 'PWW', 'RHO', 'RTE', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SBS', 'SBT', 'SEW', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SGT', 'SOF', 'SOR', 'SOV', 'SSF', 'SSY', 'STF', 'STI', 'STO', 'STT', 'STW', 'SWY', 'SZR', 'TER', 'TOL', 'TON', 'TUN', 'UFI', 'UOV', 'USI', 'UTL', 'VFI']"
908,909,C[N+]1(C)C[C@H]2[C@@H]3C=C[C@@H]([C@@H]4[C@@H]5C[N+](C)(C)C[C@@H]5[C@H]43)[C@H]2C1,68,"['AFI', 'AFR', 'AFS', 'AFY', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CON', 'CSV', 'CTH', 'DFO', 'EMT', 'ETR', 'EUO', 'FAU', 'GME', 'IFW', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWW', 'KFI', 'LTA', 'LTL', 'MAZ', 'MEI', 'MEL', 'MFI', 'MOR', 'MOZ', 'MSE', 'MTW', 'MWW', 'POS', 'RHO', 'RTH', 'SAF', 'SAO', 'SAS', 'SAV', 'SBE', 'SEW', 'SFF', 'SFG', 'SFO', 'SFS', 'SFW', 'SOR', 'SOV', 'SSF', 'STI', 'STT', 'SWY', 'TUN', 'UFI', 'UOV', 'USI', 'UTL', 'VFI']"
909,910,C[N+]1(C)C[C@H]2[C@@H]3C=C[C@@H]([C@H]4[C@H]3[C@H]3C[N+](C)(C)C[C@H]43)[C@H]2C1,70,"['AEL', 'AFR', 'AFS', 'AFX', 'AFY', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CON', 'CSV', 'CTH', 'DFO', 'EMT', 'ERI', 'ETR', 'EUO', 'FAU', 'GME', 'IFW', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'KFI', 'LTA', 'LTL', 'MAZ', 'MEI', 'MEL', 'MFI', 'MOR', 'MOZ', 'MSE', 'MTW', 'MWW', 'POS', 'PWN', 'RHO', 'SAF', 'SAO', 'SAV', 'SBE', 'SEW', 'SFG', 'SFO', 'SFS', 'SFW', 'SOR', 'SOV', 'SSF', 'STI', 'STT', 'STW', 'SWY', 'TON', 'UFI', 'UOV', 'USI', 'UTL', 'VFI']"
910,911,C[N+]1(C)C[C@H]2[C@@H]3C=C[C@H]([C@H]2C1)[C@@H]1[C@H]3[C@@H]2C[N+](C)(C)C[C@@H]21,66,"['AEL', 'AFI', 'AFR', 'AFS', 'AFX', 'AFY', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CON', 'CSV', 'CTH', 'DFO', 'EMT', 'EON', 'ERI', 'ETR', 'EUO', 'GME', 'IHW', 'IRN', 'IRR', 'ISV', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWW', 'KFI', 'LTA', 'LTL', 'MAZ', 'MEI', 'MEL', 'MFI', 'MOR', 'MOZ', 'MSE', 'MTW', 'MWW', 'POS', 'RHO', 'SAF', 'SAO', 'SBE', 'SEW', 'SFG', 'SFO', 'SFS', 'SFW', 'SOR', 'SOV', 'SSF', 'STO', 'STW', 'SWY', 'TON', 'TUN', 'UFI', 'UOV', 'USI', 'UTL', 'VFI']"
911,912,C[N+]1(C)C[C@H]2[C@@H]3C=C[C@H]([C@H]2C1)[C@@H]1[C@H]3[C@H]2C[N+](C)(C)C[C@@H]21,62,"['AEL', 'AFR', 'AFS', 'AFX', 'AFY', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CON', 'CSV', 'CTH', 'DFO', 'EMT', 'ERI', 'ETR', 'EUO', 'FAU', 'GME', 'IHW', 'IRN', 'IRR', 'ISV', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWW', 'KFI', 'LTA', 'LTL', 'MAZ', 'MEI', 'MOR', 'MOZ', 'MSE', 'MTW', 'MWW', 'POS', 'RHO', 'SAF', 'SAO', 'SBE', 'SEW', 'SFG', 'SFO', 'SFS', 'SFW', 'SOR', 'SOV', 'SSF', 'STI', 'STW', 'SWY', 'TON', 'UFI', 'UOV', 'USI', 'UTL', 'VFI']"
912,913,C[N+]1(C)C[C@H]2[C@@H]3C=C[C@H]([C@H]2C1)[C@H]1[C@@H]2C[N+](C)(C)C[C@@H]2[C@@H]31,70,"['AEL', 'AFR', 'AFS', 'AFX', 'AFY', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CON', 'CSV', 'CTH', 'DFO', 'EMT', 'EON', 'ERI', 'ETR', 'EUO', 'FAU', 'GME', 'IFW', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'KFI', 'LTA', 'LTL', 'MEI', 'MEL', 'MFI', 'MOR', 'MOZ', 'MSE', 'MTW', 'MWW', 'POS', 'RHO', 'RTH', 'SAF', 'SAO', 'SAV', 'SBE', 'SEW', 'SFG', 'SFS', 'SFW', 'SOR', 'SOV', 'SSF', 'STI', 'STO', 'STT', 'SWY', 'TON', 'TUN', 'UFI', 'UOV', 'USI', 'UTL', 'VFI']"
913,914,C[N+]1(C)C[C@H]2[C@@H]3C[N+](C)(C)C[C@@H]3[C@H]2C1,90,"['AEI', 'AEL', 'AFN', 'AFR', 'AFS', 'AFX', 'AFY', 'AVL', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CHA', 'CON', 'CSV', 'CTH', 'DFO', 'EAB', 'EMT', 'EON', 'ERI', 'ETR', 'EUO', 'EWS', 'EZT', 'FAU', 'GME', 'IFO', 'IFR', 'IFW', 'IMF', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWW', 'KFI', 'LTA', 'LTL', 'MAZ', 'MEI', 'MEL', 'MFI', 'MFS', 'MOR', 'MOZ', 'MSE', 'MWW', 'OFF', 'POS', 'PWW', 'RHO', 'RTH', 'SAF', 'SAO', 'SAS', 'SAT', 'SAV', 'SBE', 'SEW', 'SFF', 'SFG', 'SFH', 'SFN', 'SFO', 'SFS', 'SFW', 'SOR', 'SOV', 'SSF', 'STF', 'STI', 'STO', 'STT', 'STW', 'SWY', 'SZR', 'TON', 'TUN', 'UFI', 'UOZ', 'USI', 'UTL', 'VFI']"
914,915,C[N+]1(C)C[C@H]2[C@@H]3[C@@H]([C@H]2C1)[C@H]1C=C[C@@H]3[C@H]2C[N+](C)(C)C[C@H]12,66,"['AEL', 'AFR', 'AFS', 'AFX', 'AFY', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CON', 'CSV', 'CTH', 'DFO', 'EMT', 'ERI', 'ETR', 'EUO', 'GME', 'IFW', 'IHW', 'IRN', 'IRR', 'ISV', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'KFI', 'LTA', 'LTL', 'MAZ', 'MEI', 'MEL', 'MFI', 'MOR', 'MOZ', 'MSE', 'MTW', 'MWW', 'POS', 'RHO', 'SAF', 'SAO', 'SAV', 'SBE', 'SEW', 'SFG', 'SFO', 'SFS', 'SFW', 'SOR', 'SOV', 'SSF', 'STI', 'STT', 'SWY', 'TON', 'UFI', 'UOV', 'USI', 'UTL', 'VFI']"
915,916,C[N+]1(C)C[C@H]2[C@@H]3[C@H]([C@@H]4C=C[C@H]3[C@@H]3C[N+](C)(C)C[C@H]43)[C@H]2C1,63,"['AEL', 'AFR', 'AFS', 'AFX', 'AFY', 'BEC', 'BOG', 'BOZ', 'BPH', 'CON', 'CSV', 'CTH', 'DFO', 'EMT', 'ETR', 'EUO', 'FAU', 'GME', 'IHW', 'IRN', 'IRR', 'ISV', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWW', 'KFI', 'LTA', 'LTL', 'MAZ', 'MEI', 'MFI', 'MOR', 'MOZ', 'MSE', 'MTW', 'MWW', 'POS', 'RHO', 'SAF', 'SAO', 'SAV', 'SBE', 'SEW', 'SFG', 'SFO', 'SFS', 'SFW', 'SOR', 'SOV', 'SSF', 'STI', 'STW', 'SWY', 'TON', 'TUN', 'UFI', 'UOV', 'USI', 'UTL', 'VFI']"
916,917,C[N+]1(C)C[C@H]2[C@@H]3[C@H]([C@@H]4C=C[C@H]3[C@H]3C[N+](C)(C)C[C@@H]43)[C@H]2C1,59,"['AEL', 'AFR', 'AFS', 'AFX', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CON', 'CTH', 'DFO', 'EMT', 'ERI', 'ETR', 'EUO', 'FAU', 'GME', 'IHW', 'IRN', 'IRR', 'ISV', 'ITG', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'KFI', 'LTA', 'LTL', 'MEI', 'MFI', 'MOR', 'MOZ', 'MSE', 'MTW', 'MWW', 'POS', 'SAF', 'SAO', 'SBE', 'SEW', 'SFG', 'SFO', 'SFS', 'SFW', 'SOV', 'SSF', 'STI', 'STO', 'STW', 'SWY', 'TON', 'UFI', 'UOV', 'USI', 'UTL', 'VFI']"
917,918,C[N+]1(C)C[C@H]2[C@@H]3[C@H]([C@@H]4C=C[C@H]3[C@H]3C[N+](C)(C)C[C@H]43)[C@H]2C1,60,"['AEL', 'AFS', 'AFX', 'AFY', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CON', 'CTH', 'DFO', 'EMT', 'ERI', 'ETR', 'EUO', 'GME', 'IHW', 'IRN', 'IRR', 'ISV', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWW', 'KFI', 'LTA', 'LTL', 'MEI', 'MEL', 'MOR', 'MOZ', 'MSE', 'MTW', 'MWW', 'POS', 'PWN', 'RHO', 'SAF', 'SAO', 'SBE', 'SEW', 'SFG', 'SFO', 'SFS', 'SFW', 'SOR', 'SOV', 'SSF', 'STO', 'STW', 'SWY', 'TON', 'UFI', 'UOV', 'USI', 'UTL', 'VFI']"
918,919,C[N+]1(C)C[C@H]2[C@H]3C=C[C@@H]([C@@H]2C1)[C@@H]1[C@@H]2C[N+](C)(C)C[C@@H]2[C@@H]31,63,"['AEL', 'AFR', 'AFS', 'AFX', 'AFY', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CON', 'CTH', 'DFO', 'EEI', 'EMT', 'ERI', 'ETR', 'EUO', 'FAU', 'GME', 'IHW', 'IMF', 'IRN', 'IRR', 'ISV', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWW', 'KFI', 'LTA', 'LTL', 'MEI', 'MEL', 'MOR', 'MOZ', 'MSE', 'MTW', 'MWW', 'POS', 'RHO', 'SAF', 'SAO', 'SBE', 'SEW', 'SFG', 'SFO', 'SFS', 'SFW', 'SOR', 'SOV', 'SSF', 'STW', 'SWY', 'TON', 'TUN', 'UFI', 'UOV', 'USI', 'UTL', 'VFI']"
919,920,C[N+]1(C)C[C@H]2[C@H]3C=C[C@@H]([C@@H]2C1)[C@@H]1[C@H]3[C@@H]2C[N+](C)(C)C[C@@H]21,68,"['AFI', 'AFR', 'AFS', 'AFX', 'AFY', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CON', 'CSV', 'CTH', 'DFO', 'EEI', 'EMT', 'EON', 'ETR', 'EUO', 'FAU', 'GME', 'IFW', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITR', 'ITT', 'IWR', 'IWW', 'KFI', 'LTA', 'LTL', 'MAZ', 'MEI', 'MFI', 'MOR', 'MOZ', 'MSE', 'MTW', 'MWW', 'POS', 'RHO', 'RTH', 'SAF', 'SAO', 'SAS', 'SAV', 'SBE', 'SEW', 'SFG', 'SFO', 'SFS', 'SFW', 'SOR', 'SOV', 'SSF', 'STO', 'STT', 'SWY', 'TUN', 'UFI', 'UOV', 'USI', 'UTL', 'VFI']"
920,921,C[N+]1(C)C[C@H]2[C@H]3C=C[C@@H]([C@@H]2C1)[C@@H]1[C@H]3[C@H]2C[N+](C)(C)C[C@@H]21,68,"['AFR', 'AFS', 'AFX', 'AFY', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CON', 'CSV', 'CTH', 'DFO', 'EMT', 'EON', 'ETR', 'EUO', 'EWS', 'GME', 'IFW', 'IMF', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'KFI', 'LTA', 'LTL', 'MAZ', 'MEI', 'MEL', 'MFI', 'MOR', 'MOZ', 'MSE', 'MTW', 'MWW', 'POS', 'RHO', 'RTH', 'SAF', 'SAO', 'SAS', 'SAV', 'SBE', 'SEW', 'SFG', 'SFO', 'SFS', 'SFW', 'SOR', 'SOV', 'SSF', 'STT', 'STW', 'SWY', 'UFI', 'UOV', 'USI', 'UTL', 'VFI']"
921,922,C[N+]1(C)C[C@H]2[C@H]3C=C[C@@H]([C@@H]2C1)[C@H]1[C@@H]2C[N+](C)(C)C[C@@H]2[C@@H]31,69,"['AEL', 'AFR', 'AFS', 'AFX', 'AFY', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CON', 'CSV', 'CTH', 'DFO', 'EMT', 'EON', 'ERI', 'ETR', 'EUO', 'FAU', 'GME', 'IFW', 'IHW', 'IRN', 'IRR', 'ISV', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'KFI', 'LTA', 'LTL', 'MAZ', 'MEI', 'MEL', 'MFI', 'MOR', 'MOZ', 'MSE', 'MTW', 'MWW', 'POS', 'RHO', 'SAF', 'SAO', 'SAV', 'SBE', 'SEW', 'SFG', 'SFO', 'SFS', 'SFW', 'SOR', 'SOV', 'SSF', 'STI', 'STW', 'SWY', 'TON', 'TUN', 'UFI', 'UOV', 'USI', 'UTL', 'VFI']"
922,923,C[N+]1(C)C[C@H]2[C@H]3C=C[C@@H]([C@@H]2C1)[C@H]1[C@@H]2C[N+](C)(C)C[C@H]2[C@@H]31,65,"['AFR', 'AFS', 'AFX', 'AFY', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CON', 'CSV', 'CTH', 'DFO', 'EMT', 'ERI', 'ETR', 'EUO', 'FAU', 'GME', 'IFW', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'KFI', 'LTA', 'LTL', 'MEI', 'MEL', 'MFI', 'MOZ', 'MSE', 'MTW', 'MWW', 'POS', 'PWN', 'RHO', 'RTH', 'SAF', 'SAO', 'SAS', 'SAV', 'SBE', 'SEW', 'SFG', 'SFO', 'SFS', 'SFW', 'SOR', 'SOV', 'SSF', 'STT', 'SWY', 'UFI', 'USI', 'UTL', 'VFI']"
923,924,C[N+]1(C)C[C@H]2[C@H]3C=C[C@@H]([C@@H]2C1)[C@H]1[C@H]3[C@@H]2C[N+](C)(C)C[C@@H]21,65,"['AFR', 'AFS', 'AFX', 'AFY', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CON', 'CSV', 'CTH', 'DFO', 'EMT', 'EON', 'ETR', 'EUO', 'GME', 'IFW', 'IRN', 'IRR', 'ISV', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWW', 'KFI', 'LTA', 'LTL', 'MAZ', 'MEI', 'MEL', 'MFI', 'MOR', 'MOZ', 'MSE', 'MTW', 'MWW', 'POS', 'PWN', 'RHO', 'RTH', 'SAO', 'SAS', 'SAV', 'SBE', 'SEW', 'SFG', 'SFO', 'SFS', 'SFW', 'SOR', 'SOV', 'SSF', 'STT', 'STW', 'SWY', 'TON', 'UFI', 'UOV', 'USI', 'UTL', 'VFI']"
924,925,C[N+]1(C)C[C@H]2[C@H]3C=C[C@@H]([C@@H]2C1)[C@H]1[C@H]3[C@H]2C[N+](C)(C)C[C@H]12,63,"['AEL', 'AFR', 'AFS', 'AFX', 'AFY', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CON', 'CSV', 'CTH', 'DFO', 'EEI', 'EMT', 'ERI', 'ETR', 'EUO', 'FAU', 'GME', 'IRN', 'IRR', 'ISV', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWW', 'KFI', 'LTA', 'LTL', 'MAZ', 'MEI', 'MEL', 'MOR', 'MOZ', 'MSE', 'MTW', 'MWW', 'POS', 'RHO', 'SAF', 'SAO', 'SAV', 'SBE', 'SEW', 'SFG', 'SFO', 'SFS', 'SFW', 'SOR', 'SOV', 'SSF', 'STW', 'SWY', 'TON', 'UFI', 'UOV', 'USI', 'UTL', 'VFI']"
925,926,C[N+]1(C)C[C@H]2[C@H]3C=C[C@@H]([C@H]2C1)[C@@H]1[C@H]3[C@@H]2C[N+](C)(C)C[C@@H]21,65,"['AFR', 'AFS', 'AFX', 'AFY', 'BEA', 'BEC', 'BOG', 'BOZ', 'BPH', 'CON', 'CSV', 'CTH', 'DFO', 'EMT', 'ERI', 'ETR', 'EUO', 'FAU', 'GME', 'IFR', 'IFW', 'IHW', 'IRN', 'IRR', 'ISV', 'ITE', 'ITG', 'ITH', 'ITR', 'ITT', 'IWR', 'IWS', 'IWW', 'KFI', 'LTA', 'LTL', 'MAZ', 'MEI', 'MFI', 'MOZ', 'MSE', 'MTW', 'MWW', 'POS', 'RHO', 'RTH', 'SAO', 'SAS', 'SAV', 'SBE', 'SEW', 'SFG', 'SFO', 'SFS', 'SFW', 'SOR', 'SOV', 'SSF', 'STT', 'SWY', 'UFI', 'UOV', 'USI', 'UTL', 'VFI']"
